"","DOY","SM_sat","SM_gr"
"299",299,0.298007826966044,0.307503386458333
"300",300,0.264912494277951,0.301384733333333
"301",301,0.119165876865385,0.296950936458333
"302",302,0.261459527504441,0.341824914583333
"303",303,0.152856866431234,0.37951564375
"304",304,0.161842728692293,0.373761567708333
"305",305,0.273176349729296,0.362962415625
"307",307,0.253218786716458,0.355351866666667
"308",308,0.273733466327188,0.357200053125
"309",309,0.117899586749076,0.35974613125
"310",310,0.253266338825223,0.359863171875
"312",312,0.282637904089686,0.363911053125
"314",314,0.256774042403695,0.356366961458333
"315",315,0.260042145603892,0.356512057291667
"316",316,0.273631546229122,0.344430175
"317",317,0.21965402819812,0.33860639375
"318",318,0.250311798232791,0.385890717708333
"319",319,0.309743733531234,0.399363576041667
"320",320,0.255742000538108,0.3900644875
"321",321,0.277080437648293,0.3880711
"322",322,0.142990894860028,0.385883792708333
"323",323,0.270150264060494,0.383074041666667
"324",324,0.266008016037938,0.385797235416667
"325",325,0.275101308083532,0.409276922916667
"326",326,0.280601398062703,0.423411313541667
"327",327,0.162465403449535,0.4249050125
"328",328,0.249008659857509,0.41046098125
"329",329,0.260645835405586,0.406488039583333
"330",330,0.267941332024334,0.407785367708333
"331",331,0.257840410786864,0.399300546875
"332",332,0.26985286004543,0.391014807291667
"333",333,0.275630693793294,0.39274554375
"334",334,0.259353628426788,0.401075714583333
"335",335,0.266579213213918,0.389243458333333
"336",336,0.120650482869147,0.376136792708333
"337",337,0.119442698329685,0.369916859375
"338",338,0.245987791544198,0.3668631
"339",339,0.246876032382247,0.367018110416667
"340",340,0.252993252062795,0.367832777083333
"341",341,0.279684168183803,0.361949698958333
"342",342,0.24483046852946,0.359865202083333
"343",343,0.236142764735219,0.364507453125
"344",344,0.271108096694943,0.388809194791667
"345",345,0.263547314321992,0.411800125
"346",346,0.255722267216441,0.399921084375
"347",347,0.119996337521074,0.397814404166667
"348",348,0.248631729865071,0.389503719791667
"349",349,0.243475477337834,0.38937240625
"350",350,0.249293932926652,0.385063854166667
"351",351,0.254348232275245,0.372284947916667
"352",352,0.0349545106291771,0.362544814583333
"353",353,0.220806316959855,0.356854646875
"355",355,0.256729213201997,0.3605349375
"356",356,0.239255229443309,0.35749349375
"357",357,0.251298483401536,0.35391326875
"358",358,0.239215883547065,0.3522502625
"360",360,0.254313329094646,0.355152438541667
"361",361,0.230559143453834,0.355624382291667
"362",362,0.256016769433019,0.358343466666667
"363",363,0.257726580464837,0.357696163541667
"364",364,0.250759338736531,0.346928692708333
"365",365,0.216251292318104,0.339539159375
